id,image,descriptions,context,topic,anon_worker_id,trial_number,final_description,img_id,descr_length,word_count
1,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg","two football players on a field, one falling down while the ball is mid air",Hairstyle,soccer_in_progress,175149250395342,0,"two football players on a field, one falling down while the ball is mid air",soccer_in_progress1,75,15
2,La_Trobe_Uni_Wikimeetup_March_2020.jpg,a group of people sitting around a conference table  with laptops while looking back at the camera,Furniture,meeting_in_progress,175149250395342,1,a group of people sitting around a conference table  with laptops while looking back at the camera,meeting_in_progress2,98,17
3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",Tableware,laid_table,175149250395342,2,"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",laid_table3,94,19
4,Dreifaltigkeitskirche_süd.jpg,A large brown church built of concrete with a black roof and headstones in front of the building,Christian cross,church,175149250395342,3,A large brown church built of concrete with a black roof and headstones in front of the building,church4,96,18
5,Wohnzimmer_Fallada_1.JPG,a wooden dining table set with  a large lamp above it with a large window and an open door showing a bookcase full of books nearby,Window,living_room,175149250395342,5,a wooden dining table set with  a large lamp above it with a large window and an open door showing a bookcase full of books nearby,living_room6,130,26
6,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,A large extended work table which is being used a conference room with many people at the table.|A large extended work table which is being used in a conference room with many people at the table.,Furniture,meeting_in_progress,406286876794715,0,A large extended work table which is being used in a conference room with many people at the table.,meeting_in_progress7,99,20
7,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,Christian cross,church,406286876794715,1,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,church8,117,19
8,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A scene of mountain slopes with different slopes separated by a large body of water. The mountain slopes are examples of montane ecosystems.,Montane Ecosystems,mountains,406286876794715,2,A scene of mountain slopes with different slopes separated by a large body of water. The mountain slopes are examples of montane ecosystems.,mountains9,140,24
9,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",A soccer match between two teams. One team is wearing a white jersey with Red Bull advertising. There are also signs in the background with advertising as well.,Advertising,soccer_in_progress,406286876794715,3,A soccer match between two teams. One team is wearing a white jersey with Red Bull advertising. There are also signs in the background with advertising as well.,soccer_in_progress10,160,29
10,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,"The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.",Interior design,living_room,406286876794715,4,"The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.",living_room11,126,24
