imgstem_version,texts,text_controls,clipscore
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version1,A living room or den with two large windows that have sliding panes.,A living room or den with two large windows that have sliding panes.,0.80029296875
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version3",Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,0.68603515625
Wohnzimmer_Fallada_1_version1,The interior view of a dining room.,The interior view of a dining room.,0.7841796875
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version3,a group of people sit around a conference table in front of laptop computers.,a group of people sit around a conference table in front of laptop computers.,0.6630859375
river_version5,A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,0.7451171875
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version2,It shows a group of humans sitting in a meeting together.,It shows a group of humans sitting in a meeting together.,0.63720703125
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version3,Two men give a presentation.,Two men give a presentation.,0.6337890625
guitar,An orange and white guitar and a brown and white guitar being played.,An orange and white guitar and a brown and white guitar being played.,0.481201171875
wiki_livingroom_version2,A family sitting inside their home with a window closed to the side of them protecting them from the outside weather.,A family sitting inside their home with a window closed to the side of them protecting them from the outside weather.,0.65625
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version2,Wicker furniture surrounds a coffee table.,Wicker furniture surrounds a coffee table.,0.78173828125
La_Trobe_Uni_Wikimeetup_March_2020_version3,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,0.7158203125
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version4,dishes on a table,dishes on a table,0.61181640625
1599px-Paris_Notre-Dame_East_View_02_version5,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.","A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",0.7744140625
river_version3,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,0.7080078125
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version3","A typical American dinner, as presented for a special occasion or holiday.","A typical American dinner, as presented for a special occasion or holiday.",0.8603515625
wiki_livingroom_version1,"This is a room filled with couches, a table, a dresser and more. People are talking.","This is a room filled with couches, a table, a dresser and more. People are talking.",0.607421875
river_version2,A large river flowing across the land,A large river flowing across the land,0.703125
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version1",A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,0.7880859375
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version1,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,0.646484375
Dreifaltigkeitskirche_süd_version1,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,0.71533203125
river_version4,A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,0.74951171875
"Oberaargletscher_from_Oberaar,_2010_07_version3","Shown is a lake at the bottom of a mountain range. The mountains are high in elevation and contain snow on parts of it. As the snow melts, it enters the lake.","Shown is a lake at the bottom of a mountain range. The mountains are high in elevation and contain snow on parts of it. As the snow melts, it enters the lake.",0.80029296875
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version4",A large body of water sandwiched between two large mountainous land masses.,A large body of water sandwiched between two large mountainous land masses.,0.73486328125
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10_version4",One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,0.67431640625
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version3,"A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.","A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.",0.865234375
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version1",A group of men playing soccer as one tries to the kick the ball away from another.,A group of men playing soccer as one tries to the kick the ball away from another.,0.6064453125
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version5",A table is set in a home and a turkey and wine are on the table.,A table is set in a home and a turkey and wine are on the table.,0.9169921875
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey_version1",This is a table filled with food and dishes. Appears to be an American Thanksgiving.,This is a table filled with food and dishes. Appears to be an American Thanksgiving.,0.87451171875
