description,img_id,context,q1,q2,q3,q4,article_text
A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,mountains18,Orogeny,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,An orogeny is an event that leads to both structural deformation and compositional differentiation of the Earth's lithosphere (crust and uppermost mantle) at convergent plate margins. An orogen or orogenic belt develops when a continental plate crumples and is uplifted to form one or more mountain ranges; this involves a series of geological processes collectively called orogenesis. A synorogenic event is one that occurs during an orogeny.
Chefs prepare plates of food.,laid_table3,Dinner,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Dinner usually refers to what is in many Western cultures the largest and most formal meal of the day, which some Westerners eat in the evening. Historically the largest meal used to be eaten around midday, and called dinner. In Western cultures, especially among the elite, it gradually migrated later in the day over the 16th to 19th centuries. However, the word ""dinner"" can have different meanings depending on culture, and may mean a meal of any size eaten at any time of day. In particular, it is still sometimes used for a meal at noon or in the early afternoon on special occasions, such as a Christmas dinner. In hot climates, people have always tended to eat the main meal in the evening, after the temperature has fallen."
A soccer field showing advertising billboards in the background.,soccer_in_progress1,Advertising,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
"Shown is a lake at the bottom of a mountain range. The mountains are high in elevation and contain snow on parts of it. As the snow melts, it enters the lake.",mountains16,Montane Ecosystems,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Montane ecosystems are found on the slopes of mountains. The alpine climate in these regions strongly affects the ecosystem because temperatures fall as elevation increases, causing the ecosystem to stratify. This stratification is a crucial factor in shaping plant community, biodiversity, metabolic processes and ecosystem dynamics for montane ecosystems. Dense montane forests are common at moderate elevations, due to moderate temperatures and high rainfall. At higher elevations, the climate is harsher, with lower temperatures and higher winds, preventing the growth of trees and causing the plant community to transition to montane grasslands, shrublands or alpine tundra. Due to the unique climate conditions of montane ecosystems, they contain increased numbers of endemic species. Montane ecosystems also exhibit variation in ecosystem services, which include carbon storage and water supply."
A large body of water sandwiched between two large mountainous land masses.,mountains9,Body of water,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",church4,Christian cross,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
A group of soccer players celebrate on the field,soccer_in_progress13,Competition,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
A family sitting inside their home with a window closed to the side of them protecting them from the outside weather.,living_room15,Window,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"A window is an opening in a wall, door, roof, or vehicle that allows the passage of light and may also allow the passage of sound and sometimes air. Modern windows are usually glazed or covered in some other transparent or translucent material, a sash set in a frame in the opening; the sash and frame are also referred to as a window. Many glazed windows may be opened, to allow ventilation, or closed, to exclude inclement weather. Windows may have a latch or similar mechanism to lock the window shut or to hold it open by various amounts."
A park on a nice day with lots of grass and trees and a pond.,sculpture.png,Sculpture,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Sculpture is the branch of the visual arts that operates in three dimensions. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast."
An orange and white guitar and a brown and white guitar being played.,guitar.png,Guitar,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"The guitar is a fretted musical instrument that typically has six strings. It is held flat against the player's body and played by strumming or plucking the strings with the dominant hand, while simultaneously pressing selected strings against frets with the fingers of the opposite hand. A plectrum or individual finger picks may be used to strike the strings. The sound of the guitar is projected either acoustically, by means of a resonant chamber on the instrument, or amplified by an electronic pickup and an amplifier."
