imgstem_version,texts,text_controls,clipscore
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version1,"There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.","There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.",0.619140625
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version3",dishes on a table,dishes on a table,0.4345703125
Wohnzimmer_Fallada_1_version1,A living room or den with two large windows that have sliding panes.,A living room or den with two large windows that have sliding panes.,0.7412109375
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version3,A group of men playing soccer as one tries to the kick the ball away from another.,A group of men playing soccer as one tries to the kick the ball away from another.,0.413818359375
river_version5,Three people talk while sitting on couches around a coffee table in a living room.,Three people talk while sitting on couches around a coffee table in a living room.,0.37548828125
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version2,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,0.36865234375
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version3,two soccer players on the field,two soccer players on the field,0.38623046875
guitar,A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,0.18359375
wiki_livingroom_version2,The image shows a large river running through mountains in summer or early fall.,The image shows a large river running through mountains in summer or early fall.,0.41162109375
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version2,"A typical American dinner, as presented for a special occasion or holiday.","A typical American dinner, as presented for a special occasion or holiday.",0.55322265625
La_Trobe_Uni_Wikimeetup_March_2020_version3,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,0.47021484375
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version4,A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,0.5634765625
1599px-Paris_Notre-Dame_East_View_02_version5,The interior view of a dining room.,The interior view of a dining room.,0.444091796875
river_version3,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,0.303466796875
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version3","People in a stand are watching a soccer game. The focus is two players, one on the ground and the other standing behind him as the ball is coming to them.","People in a stand are watching a soccer game. The focus is two players, one on the ground and the other standing behind him as the ball is coming to them.",0.407470703125
wiki_livingroom_version1,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,0.405517578125
river_version2,A church is shown with a domed roof and dramatic spires,A church is shown with a domed roof and dramatic spires,0.398193359375
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version1",A table is set with a large turkey while a person is opening a bottle of wine.,A table is set with a large turkey while a person is opening a bottle of wine.,0.935546875
Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3)_version1,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,0.347900390625
Dreifaltigkeitskirche_süd_version1,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,0.280517578125
river_version4,Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,0.290283203125
"Oberaargletscher_from_Oberaar,_2010_07_version3","The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.","The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.",0.351318359375
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version4",A park on a nice day with lots of grass and trees and a pond.,A park on a nice day with lots of grass and trees and a pond.,0.49462890625
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10_version4","A building with various types of building material used including stone, brick, and metal.","A building with various types of building material used including stone, brick, and metal.",0.298095703125
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version3,"The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.","The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.",0.75390625
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version1","A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.","A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.",0.2288818359375
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version5",A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,0.447265625
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey_version1",A large body of water sandwiched between two large mountainous land masses.,A large body of water sandwiched between two large mountainous land masses.,0.434326171875
Dreifaltigkeitskirche_süd_version3,Chefs prepare plates of food.,Chefs prepare plates of food.,0.35107421875
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version1,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,0.7431640625
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version3",An orange and white guitar and a brown and white guitar being played.,An orange and white guitar and a brown and white guitar being played.,0.398193359375
wiki_livingroom_version3,A soccer field showing advertising billboards in the background.,A soccer field showing advertising billboards in the background.,0.3330078125
"Oberaargletscher_from_Oberaar,_2010_07_version1",A traditional church made of brick with a tall steeple and a cross on top of it.,A traditional church made of brick with a tall steeple and a cross on top of it.,0.384765625
640px-parc_agen,This is a table filled with food and dishes. Appears to be an American Thanksgiving.,This is a table filled with food and dishes. Appears to be an American Thanksgiving.,0.300048828125
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version2","The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.","The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.",0.3173828125
La_Trobe_Uni_Wikimeetup_March_2020_version2,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,0.24072265625
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version4,A table is set in a home and a turkey and wine are on the table.,A table is set in a home and a turkey and wine are on the table.,0.6513671875
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version2","a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white","a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",0.525390625
Wohnzimmer_Fallada_1_version3,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,0.4189453125
river_version1,a group of people sitting around a conference table  with laptops while looking back at the camera,a group of people sitting around a conference table  with laptops while looking back at the camera,0.38134765625
1599px-Paris_Notre-Dame_East_View_02_version1,There is a snowy mountain range with a lower path between them.,There is a snowy mountain range with a lower path between them.,0.5068359375
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version2,"This is a room filled with couches, a table, a dresser and more. People are talking.","This is a room filled with couches, a table, a dresser and more. People are talking.",0.3857421875
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04_version3","A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.","A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",0.40283203125
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version5",It shows a group of humans sitting in a meeting together.,It shows a group of humans sitting in a meeting together.,0.464111328125
1599px-Paris_Notre-Dame_East_View_02_version2,"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.","Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",0.33642578125
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version1","a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.","a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",0.15478515625
