texts,text_controls,SPURTS_score,MIMA_score
A church is shown with a domed roof and dramatic spires,a church is shown with a domed roof and dramatic spires,0.4586729407310486,0.5367538928985596
"In the photo you can see a huge cathedral of Gothic architecture in the middle of what appears to be trees, or an elaborate garden. The colors of the cathedral range from ivory to light emerald, without becoming intense. Although it is not done directly incapié, the photo frames the roof of the cathedral.","in the photo you can see a huge cathedral of gothic architecture in the middle of what appears to be trees, or an elaborate garden the colors of the cathedral range from ivory to light emerald, without becoming intense although it is not done directly incapié, the photo frames the roof of the cathedral",0.4706979990005493,0.39899057149887085
A building that looks like is made of concrete and steel. It has multiple roof shapes from A-frame to cone shaped.,a building that looks like is made of concrete and steel it has multiple roof shapes from a-frame to cone shaped,0.4675965905189514,0.4152229428291321
A gothic style Cathedral seen through a courtyard.,a gothic style cathedral seen through a courtyard,0.47928327322006226,0.5250303745269775
"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.","a garden, statue and fountain stand next to a tree-lined path that leads to a gothic cathedral",0.47311997413635254,0.4520531892776489
The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,the outside frontal view of a brick church  there is also a small graveyard in front of the church,0.47089001536369324,0.4565582275390625
A traditional church made of brick with a tall steeple and a cross on top of it.,a traditional church made of brick with a tall steeple and a cross on top of it,0.4546356797218323,0.43676578998565674
"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.","a red brick church is in the midground of the image  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones",0.47452473640441895,0.4132004380226135
The image shows a relatively small church on the ground.,the image shows a relatively small church on the ground,0.36907655000686646,0.5069552659988403
"A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type","a vintage church building is shown the building is created out of square tan colored stone with rectangular brick accenting each layer of stone the church building is constructed on a tiled floor in a lighter tan color portions of the roof are flat and there are separated domed, arched sections that are made in varying levels three of these sections have large, bright golden crosses on top of them there are no visible windows but there are sections that contain five small, round holes that may be a window of some type",0.47805458307266235,0.36763352155685425
"A building with various types of building material used including stone, brick, and metal.","a building with various types of building material used including stone, brick, and metal",0.48613440990448,0.5183572769165039
