imgstem_version,texts,text_controls,clipscore
73118,"A line of men and women in suits and dresses respectively, standing outside beside a large American flag on a pole. In front of them, a young girl holds a shovel dug into the ground.","A line of men and women in suits and dresses respectively, standing outside beside a large American flag on a pole. In front of them, a young girl holds a shovel dug into the ground.",0.87109375
101779,A black and white group photograph of 15 women in Edwardian dress posing on the outdoor entrance stairs,A black and white group photograph of 15 women in Edwardian dress posing on the outdoor entrance stairs,0.82275390625
82422,Theatre poster depicting a young white woman in late 19th-century costume showing what at the time would be thought a risqu amount of bare leg,Theatre poster depicting a young white woman in late 19th-century costume showing what at the time would be thought a risqu amount of bare leg,0.89404296875
3071,Aureus of Marcus Aurelius,Aureus of Marcus Aurelius,0.81640625
28691,"Wall of a building with mural of a bearded man with sunglasses wearing a beret, a young man in a white hat in front of two riders on chopper motorcycles below the legend Johnny's the birthplace of the American biker.","Wall of a building with mural of a bearded man with sunglasses wearing a beret, a young man in a white hat in front of two riders on chopper motorcycles below the legend Johnny's the birthplace of the American biker.",0.99072265625
370,Blue command module Gumdrop,Blue command module Gumdrop,0.78076171875
74586,A distant view of city,A distant view of city,0.51171875
41859,"the almost destroyed chassis of Kehoe's Ford pickup truck, surrounded by onlookers","the almost destroyed chassis of Kehoe's Ford pickup truck, surrounded by onlookers",0.748046875
39556,"Anthony Henday Drive interchange over Yellowhead Trail, Strathcona County immediately east of Edmonton, Alberta. Construction was completed in 2016.","Anthony Henday Drive interchange over Yellowhead Trail, Strathcona County immediately east of Edmonton, Alberta. Construction was completed in 2016.",0.7431640625
70241,Elaborately decorated shopping mall with stained glass windows,Elaborately decorated shopping mall with stained glass windows,0.76953125
95403,Petition from Minnie Fisher Cunningham of the Texas Woman Suffrage Association,Petition from Minnie Fisher Cunningham of the Texas Woman Suffrage Association,0.9072265625
11222,Dresses featuring the Bustle & Polonaise,Dresses featuring the Bustle & Polonaise,0.873046875
50491,The zinc works at Lutana,The zinc works at Lutana,0.53759765625
50174,A photo of the Star Trek: The Next Generation season one characters in costume,A photo of the Star Trek: The Next Generation season one characters in costume,0.8515625
20254,Picture of a building with trees (leaves turning) in the foreground,Picture of a building with trees (leaves turning) in the foreground,0.6640625
81408,An American football in a white jersey tackles one in a blue jersey catching a ball.,An American football in a white jersey tackles one in a blue jersey catching a ball.,0.8447265625
38530,A man with brown hair in a navy blue jacket sits with his hands on his lap,A man with brown hair in a navy blue jacket sits with his hands on his lap,0.787109375
88343,mosque,mosque,0.6640625
76366,"A cartoon of a man dressed in an iron suit, wearing a black top hat with a lockbox chained to his neck, getting into a horse-drawn carriage made out of metal and covered with spikes and cannons.","A cartoon of a man dressed in an iron suit, wearing a black top hat with a lockbox chained to his neck, getting into a horse-drawn carriage made out of metal and covered with spikes and cannons.",0.92041015625
65805,Flowers,Flowers,0.70556640625
48354,Sepia image of a small snow-covered stone cottage surrounded by tall trees,Sepia image of a small snow-covered stone cottage surrounded by tall trees,0.84521484375
60889,"The grayscale of a woman sitting in a chair. She wears a dark coat, a shiny suit and an afro. Behind her, two women are standing in the same position. They wear the same shiny suit and black gloves.","The grayscale of a woman sitting in a chair. She wears a dark coat, a shiny suit and an afro. Behind her, two women are standing in the same position. They wear the same shiny suit and black gloves.",0.6953125
97513,"An image of a train station, including tracks, platforms, and a shelter.","An image of a train station, including tracks, platforms, and a shelter.",0.7255859375
57497,"A carving of a noble robed man and woman apparently leading a demure, robed woman. The man's robe is open, exposing his penis. He holds the hand of the woman.","A carving of a noble robed man and woman apparently leading a demure, robed woman. The man's robe is open, exposing his penis. He holds the hand of the woman.",0.794921875
41698,"Suspension bridge at Storms River - River mouth between two ragged cliffs with some greenery, with the suspension bridge in the foreground","Suspension bridge at Storms River - River mouth between two ragged cliffs with some greenery, with the suspension bridge in the foreground",0.8876953125
93002,Stuart Rowlands Interview,Stuart Rowlands Interview,0.5654296875
55612,"A sign in the shape of a red fish with the words, ""Dont look here","A sign in the shape of a red fish with the words, ""Dont look here",0.7275390625
12976,Non-contrast magnetic resonance imaging showing hyper-intense lesion involving the left temporal and parieto-occipital regions. The tumor is crossing the midline to the right parietal region.,Non-contrast magnetic resonance imaging showing hyper-intense lesion involving the left temporal and parieto-occipital regions. The tumor is crossing the midline to the right parietal region.,0.775390625
63239,"A man wearing a green soccer uniform, playing soccer.","A man wearing a green soccer uniform, playing soccer.",0.794921875
77193,Self portrait,Self portrait,0.6376953125
35502,"View from a barge of long arch above and barge passing beside, side of arches also visible with diamond-shaped painted balustrades. Backdrop of mid-storey buildings behind a tree-lined promenade.","View from a barge of long arch above and barge passing beside, side of arches also visible with diamond-shaped painted balustrades. Backdrop of mid-storey buildings behind a tree-lined promenade.",0.7724609375
5997,Drift wood can be harmlees in small amounts like this but to much can be bad for the ecosystem.,Drift wood can be harmlees in small amounts like this but to much can be bad for the ecosystem.,0.58056640625
61628,"Television Zagreb building: Four-story, curved gray building","Television Zagreb building: Four-story, curved gray building",0.78662109375
97069,Across this street is a large five story brick building with several sloped Japanese green tiled roofs,Across this street is a large five story brick building with several sloped Japanese green tiled roofs,0.78564453125
58832,Gateway Drom and Inch GAA club,Gateway Drom and Inch GAA club,0.826171875
102105,Efrat Mishori on a motorbike,Efrat Mishori on a motorbike,0.76708984375
93127,Bipasha Basu is looking towards the camera.,Bipasha Basu is looking towards the camera.,0.85888671875
58711,"A brunette woman in a white dress, a man in a tuxedo, and a blonde woman in a dress that is mostly blue with other colored patterns stand in front of red stairs","A brunette woman in a white dress, a man in a tuxedo, and a blonde woman in a dress that is mostly blue with other colored patterns stand in front of red stairs",0.82421875
84241,"Smiling man with short, tousled hair, wearing white shirt open at collar, and black jacket.","Smiling man with short, tousled hair, wearing white shirt open at collar, and black jacket.",0.7548828125
31385,New Orleans lithograph from 1852,New Orleans lithograph from 1852,0.849609375
83907,Tents in a military camp,Tents in a military camp,0.7939453125
95531,Black and white print of a confident-looking man with long sideburns. He wears a dark military uniform with a high colour and many decorations.,Black and white print of a confident-looking man with long sideburns. He wears a dark military uniform with a high colour and many decorations.,0.796875
78069,A woman kneeling upon a piano whilst singing,A woman kneeling upon a piano whilst singing,0.80029296875
56653,Junior Eurovision Winners,Junior Eurovision Winners,0.5595703125
91516,The Hungarian Conquest in the Illuminated Chronicle,The Hungarian Conquest in the Illuminated Chronicle,0.8994140625
14943,The original version of Glitch,The original version of Glitch,0.5498046875
84033,"A man in a red suit standing in front of a microphone stand, with one arm raised","A man in a red suit standing in front of a microphone stand, with one arm raised",0.91064453125
